text	label
Generate a summary of this document	gen
Write a blog post about AI	gen
Create a poem about nature	gen
Tell me a story	gen
Explain quantum physics	gen
What is machine learning	gen
Close my bot position on ETH	act
Restart the trading bot	act
Check bot status	act
Stop all positions	act
Emergency close all trades	act
Show me the logs	act
Monitor system health	act
Backup the database	act
Update bot configuration	act
Run system diagnostics	act
Can you write me an email	gen
Draft a response to this message	gen
Compose a letter	gen
Generate code for this function	gen
Create documentation	gen
Translate this text	gen
Summarize this article	gen
Rewrite this paragraph	gen
Check server status	act
Deploy the application	act
Scale the infrastructure	act
Monitor network traffic	act
Restart the service	act
Update system packages	act
Execute maintenance script	act
Run backup procedure	act
Kill the hanging process	act
Clear the cache	act
Analyze the performance logs	act
Fix the broken deployment	act
What's the weather like	gen
Tell me about history	gen
Explain how this works	gen
Give me cooking instructions	gen
Help me understand this concept	gen
Write some creative content	gen
Generate marketing copy	gen
Create a presentation outline	gen
Execute the trading strategy	act
Liquidate these positions	act
Hedge this exposure	act
Cancel pending orders	act
Rebalance the portfolio	act
Execute arbitrage opportunity	act
Close long positions	act
Open short positions	act
Stop loss execution	act
Take profit on positions	act
What is the capital of France	gen
How does quantum computing work	gen
Tell me about artificial intelligence	gen
Explain how photosynthesis works	gen
What are the benefits of meditation	gen
How do I cook pasta	gen
What is the meaning of life	gen
Tell me about the solar system	gen
How does the internet work	gen
What is cryptocurrency	gen
Explain machine learning in simple terms	gen
How do electric cars work	gen
What causes climate change	gen
Tell me about the history of computers	gen
How does GPS navigation work	gen
What is blockchain technology	gen
Explain the theory of relativity	gen
How do vaccines work	gen
What is artificial neural networks	gen
Tell me about renewable energy	gen
How does cellular communication work	gen
What are the effects of exercise	gen
Explain the water cycle	gen
How do search engines work	gen
What is quantum entanglement	gen
Tell me about space exploration	gen
How does cryptocurrency mining work	gen
What are the principles of democracy	gen
Explain how the brain processes information	gen
How do submarines work underwater	gen
What is the greenhouse effect	gen
Tell me about ancient civilizations	gen
How does wireless charging work	gen
What are the stages of sleep	gen
Explain how DNA replication works	gen
How do wind turbines generate electricity	gen
What is the difference between AI and ML	gen
Tell me about the human immune system	gen
How does cloud computing work	gen
What causes earthquakes	gen
Explain how rockets reach space	gen
How do solar panels work	gen
What is the stock market	gen
Tell me about the periodic table	gen
How does 3D printing work	gen
What are the phases of the moon	gen
Explain how antibiotics work	gen
How do electric motors work	gen
What is the carbon cycle	gen
Tell me about ocean currents	gen
How does magnetic levitation work	gen
Check my trading positions	act
Close all my positions	act
Show me recent error logs	act
Check system logs for errors	act
Monitor the trading bot	act
Stop the automated trading	act
Check my crypto balances	act
Show me the server status	act
Restart all trading bots	act
Check for system errors	act
Monitor network connections	act
Show me recent transactions	act
Check database connections	act
Stop all running processes	act
Show me performance metrics	act
Check disk space usage	act
Monitor CPU usage	act
Show me active connections	act
Check memory usage	act
Stop the background services	act
Show me recent activities	act
Check the application logs	act
Monitor security events	act
Show me user sessions	act
Check backup status	act
Stop data synchronization	act
Show me queue status	act
Check cache performance	act
Monitor API responses	act
Show me recent alerts	act
Check system temperatures	act
