text	label
Generate a summary of this document	gen
Write a blog post about AI	gen
Create a poem about nature	gen
Tell me a story	gen
Explain quantum physics	gen
What is machine learning	gen
Close my bot position on ETH	act
Restart the trading bot	act
Check bot status	act
Stop all positions	act
Emergency close all trades	act
Show me the logs	act
Monitor system health	act
Backup the database	act
Update bot configuration	act
Run system diagnostics	act
Can you write me an email	gen
Draft a response to this message	gen
Compose a letter	gen
Generate code for this function	gen
Create documentation	gen
Translate this text	gen
Summarize this article	gen
Rewrite this paragraph	gen
Check server status	act
Deploy the application	act
Scale the infrastructure	act
Monitor network traffic	act
Restart the service	act
Update system packages	act
Execute maintenance script	act
Run backup procedure	act
Kill the hanging process	act
Clear the cache	act
Analyze the performance logs	act
Fix the broken deployment	act
What's the weather like	gen
Tell me about history	gen
Explain how this works	gen
Give me cooking instructions	gen
Help me understand this concept	gen
Write some creative content	gen
Generate marketing copy	gen
Create a presentation outline	gen
Execute the trading strategy	act
Liquidate these positions	act
Hedge this exposure	act
Cancel pending orders	act
Rebalance the portfolio	act
Execute arbitrage opportunity	act
Close long positions	act
Open short positions	act
Stop loss execution	act
Take profit on positions	act
What is the capital of France	gen
How does quantum computing work	gen
Tell me about artificial intelligence	gen
Explain how photosynthesis works	gen
What are the benefits of meditation	gen
How do I cook pasta	gen
What is the meaning of life	gen
Tell me about the solar system	gen
How does the internet work	gen
What is cryptocurrency	gen
Explain machine learning in simple terms	gen
How do electric cars work	gen
What causes climate change	gen
Tell me about the history of computers	gen
How does GPS navigation work	gen
What is blockchain technology	gen
Explain the theory of relativity	gen
How do vaccines work	gen
What is artificial neural networks	gen
Tell me about renewable energy	gen
How does cellular communication work	gen
What are the effects of exercise	gen
Explain the water cycle	gen
How do search engines work	gen
What is quantum entanglement	gen
Tell me about space exploration	gen
How does cryptocurrency mining work	gen
What are the principles of democracy	gen
Explain how the brain processes information	gen
How do submarines work underwater	gen
What is the greenhouse effect	gen
Tell me about ancient civilizations	gen
How does wireless charging work	gen
What are the stages of sleep	gen
Explain how DNA replication works	gen
How do wind turbines generate electricity	gen
What is the difference between AI and ML	gen
Tell me about the human immune system	gen
How does cloud computing work	gen
What causes earthquakes	gen
Explain how rockets reach space	gen
How do solar panels work	gen
What is the stock market	gen
Tell me about the periodic table	gen
How does 3D printing work	gen
What are the phases of the moon	gen
Explain how antibiotics work	gen
How do electric motors work	gen
What is the carbon cycle	gen
Tell me about ocean currents	gen
How does magnetic levitation work	gen
Check my trading positions	act
Close all my positions	act
Show me recent error logs	act
Check system logs for errors	act
Monitor the trading bot	act
Stop the automated trading	act
Check my crypto balances	act
Show me the server status	act
Restart all trading bots	act
Check for system errors	act
Monitor network connections	act
Show me recent transactions	act
Check database connections	act
Stop all running processes	act
Show me performance metrics	act
Check disk space usage	act
Monitor CPU usage	act
Show me active connections	act
Check memory usage	act
Stop the background services	act
Show me recent activities	act
Check the application logs	act
Monitor security events	act
Show me user sessions	act
Check backup status	act
Stop data synchronization	act
Show me queue status	act
Check cache performance	act
Monitor API responses	act
Show me recent alerts	act
Check system temperatures	act
Stop automatic updates	act
Show me service health	act
Check SSL certificates	act
Monitor bandwidth usage	act
Show me recent deployments	act
Check container status	act
Stop scheduled tasks	act
Show me log file sizes	act
Check firewall rules	act
Monitor database queries	act
Show me recent backups	act
Check storage capacity	act
Stop file transfers	act
Show me current users	act
Check network latency	act
Monitor web traffic	act
Show me system uptime	act
Check port connectivity	act
Stop data processing	act
Show me error rates	act
Check load balancer status	act
Monitor application health	act
Close my bot position	act
Check bot status now	act
Show me the system logs	act
Check my current positions	act
Stop all trading activities	act
Monitor the server health	act
Check recent log entries	act
Show system performance	act
Check trading bot errors	act
Monitor database activity	act
Show me recent trades	act
Check network connectivity	act
Stop the running services	act
Monitor security alerts	act
Check backup procedures	act
Show application status	act
Check server resources	act
Monitor user activities	act
Stop automated processes	act
Check system diagnostics	act
Show recent notifications	act
Monitor API endpoints	act
Check configuration files	act
Stop background jobs	act
Show error logs from today	act
Check service availability	act
Monitor system resources	act
Stop data collection	act
Check application errors	act
Show recent system events	act
Monitor performance metrics	act
Check log file rotation	act
Stop file synchronization	act
Show database connections	act
Check SSL certificate status	act
Monitor network traffic	act
Stop queue processing	act
Check system health status	act
Show recent user logins	act
Monitor disk usage	act
Check memory allocation	act
Stop cache operations	act
Show system configuration	act
Check process status	act
Monitor service endpoints	act
Stop automated backups	act
Check application logs	act
Show current system load	act
Monitor security events	act
Check database performance	act
Stop real-time monitoring	act
Show system alert history	act
Check container health	act
Monitor web requests	act
Stop scheduled maintenance	act
Check firewall configuration	act
Show recent system changes	act
Monitor API response times	act
Check storage utilization	act
Stop data archiving	act
Show system status dashboard	act
Check network configuration	act
Monitor application metrics	act
Stop event processing	act
Check log aggregation	act
Show recent error patterns	act
Monitor service dependencies	act
Check system backup status	act
Stop automated testing	act
Show performance history	act
Check database integrity	act
Monitor security logs	act
Stop live data feeds	act
Check system monitoring	act
Show recent deployments	act
Monitor infrastructure health	act
Check application performance	act
Stop continuous integration	act
Show system audit logs	act
Check service mesh status	act
Monitor container orchestration	act
Stop automated deployment	act
Check microservice health	act
Show recent configuration changes	act
Monitor distributed systems	act
Check load balancer health	act
Stop message queue processing	act
Show system telemetry data	act
Check service discovery status	act
Monitor cloud infrastructure	act
Stop automated scaling	act
Check system compliance status	act
Show recent security scans	act
Monitor application dependencies	act
Check disaster recovery status	act
Stop automated failover	act
Show system maintenance logs	act
